Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
Autoencoder,1,80/20,1.0,0.9844989185291997,0.992188919164396,0.9984501153402537,00:00:35.787552,00:00:05.938832
Percentile,90/10,80/20,0.9932381667918858,0.9531362653208363,0.9727740986019132,0.9946655132641292,00:00:00,00:00:01.498005
HBOS,3,80/20,0.909792767167818,0.8071377072819034,0.8553963705826171,0.9727148212226067,00:00:00.038998,00:00:02.733259
LOF,20/0.2,80/20,0.47337278106508873,0.547945205479452,0.5079365079365079,0.89385092272203,00:00:00,00:00:00.194317
Autoencoder,1,80/20,1.0,0.9899062725306417,0.9949275362318841,0.9989907727797002,00:00:35.787552,00:00:05.399135
Percentile,90/10,80/20,0.9992418498862775,0.9502523431867339,0.9741315594974131,0.9949538638985006,00:00:00,00:00:01.139522
HBOS,3,80/20,0.897537728355838,0.8147080028839221,0.854119425547997,0.9721741637831603,00:00:00.038998,00:00:02.077536
LOF,20/0.2,80/20,0.4911717495987159,0.55155010814708,0.5196128374936322,0.8980320069204152,00:00:00,00:00:00.191299
Autoencoder,1,80/20,1.0,0.9909877433309301,0.9954734745609269,0.9990989042675894,00:00:35.787552,00:00:05.288572
Percentile,90/10,80/20,0.9902439024390244,0.9513338139870223,0.9703989703989704,0.9941969434832757,00:00:00,00:00:01.082943
HBOS,3,80/20,0.9005681818181818,0.7999279019466474,0.8472699503627339,0.9711649365628604,00:00:00.038998,00:00:01.973008
LOF,20/0.2,80/20,0.4822185970636215,0.5328046142754146,0.5062510703887653,0.8960856401384083,00:00:00,00:00:00.165226
Autoencoder,1,80/20,1.0,0.9866618601297765,0.9932861549628017,0.9986663783160323,00:00:35.787552,00:00:05.443540
Percentile,90/10,80/20,0.994354535190064,0.9524152847873107,0.9729331614803903,0.9947015570934256,00:00:00,00:00:01.101522
HBOS,3,80/20,0.8884920634920634,0.8071377072819034,0.8458632414053646,0.9705882352941176,00:00:00.038998,00:00:01.984140
LOF,20/0.2,80/20,0.47838525111252383,0.5425378514780101,0.5084459459459458,0.8951124567474048,00:00:00,00:00:00.172902
Autoencoder,1,80/20,1.0,0.9920692141312184,0.9960188201230546,0.9992070357554786,00:00:35.787552,00:00:05.437998
Percentile,90/10,80/20,0.9938884644766998,0.9379956741167988,0.96513353115727,0.9932237600922722,00:00:00,00:00:01.064609
HBOS,3,80/20,0.8978943186332936,0.8147080028839221,0.8542808542808543,0.9722102076124568,00:00:00.038998,00:00:01.988210
LOF,20/0.2,80/20,0.47366730892742454,0.5317231434751262,0.5010190217391304,0.894103229527105,00:00:00,00:00:00.155239
Autoencoder,1,80/20,1.0,0.9881038211968277,0.9940163191296465,0.998810553633218,00:00:35.787552,00:00:05.085775
