Technique,Variable,Training_Test,Precision,Recall,F1,Accuracy,Time_t,Time_d
HBOS,3,80/20,0.8953399541634836,0.8259337561663143,0.8592375366568915,0.9729339207048459,00:00:00.067212,00:00:02.430743
Percentile,90/10,80/20,0.9908759124087592,0.9566596194503171,0.9734671925421299,0.994784140969163,00:00:00,00:00:01.573057
Autoencoder,1,80/20,1.0,0.9728682170542635,0.9862475442043221,0.9972863436123348,00:00:19.080481,00:00:05.316369
HBOS,3,80/20,0.8897426046868997,0.8160676532769556,0.8513140966734056,0.971488986784141,00:00:00.067212,00:00:02.528055
Percentile,90/10,80/20,0.998158379373849,0.9548978153629316,0.9760489825319647,0.9953127753303965,00:00:00,00:00:01.450741
Autoencoder,1,80/20,1.0,0.9756871035940803,0.9876939539860888,0.997568281938326,00:00:19.080481,00:00:05.311952
HBOS,3,80/20,0.9010946051602815,0.8121916842847076,0.8543365455893255,0.9722995594713656,00:00:00.067212,00:00:02.357982
Percentile,90/10,80/20,0.9944812362030905,0.952431289640592,0.9730021598272137,0.9947136563876652,00:00:00,00:00:01.531770
Autoencoder,1,80/20,1.0,0.9735729386892178,0.9866095340117836,0.9973568281938326,00:00:19.080481,00:00:05.274390
HBOS,3,80/20,0.9007064364207221,0.8086680761099366,0.8522094318603788,0.9719471365638767,00:00:00.067212,00:00:02.527659
Percentile,90/10,80/20,0.9922737306843267,0.9503171247357294,0.9708423326133908,0.9942907488986784,00:00:00,00:00:01.458689
Autoencoder,1,80/20,1.0,0.974277660324172,0.9869712653935391,0.9974273127753304,00:00:19.080481,00:00:05.272878
HBOS,3,80/20,0.8980392156862745,0.806906272022551,0.85003711952487,0.9715242290748899,00:00:00.067212,00:00:02.459602
Percentile,90/10,80/20,0.9963410171972191,0.9594785059901338,0.9775623765930712,0.9955947136563876,00:00:00,00:00:01.486086
Autoencoder,1,80/20,1.0,0.971106412966878,0.9853414372542009,0.9971101321585903,00:00:19.080481,00:00:05.262767
HBOS,3,80/20,0.9016777214202107,0.8143058491895702,0.8557674504721349,0.9725462555066079,00:00:00.067212,00:00:02.521763
Percentile,90/10,80/20,0.9903345724907063,0.9386892177589852,0.9638205499276411,0.9929515418502203,00:00:00,00:00:01.428529
Autoencoder,1,80/20,1.0,0.974277660324172,0.9869712653935391,0.9974273127753304,00:00:19.080481,00:00:05.426593
HBOS,3,80/20,0.8995667585663647,0.8047921071176886,0.8495443555886182,0.971488986784141,00:00:00.067212,00:00:02.559919
Percentile,90/10,80/20,0.9959795321637427,0.9601832276250881,0.9777538571941156,0.9956299559471365,00:00:00,00:00:01.413021
Autoencoder,1,80/20,1.0,0.9774489076814659,0.9885958660014256,0.9977444933920705,00:00:19.080481,00:00:05.236782
HBOS,3,80/20,0.8880907372400756,0.8276955602536998,0.8568302024439176,0.9723348017621145,00:00:00.067212,00:00:02.424919
Percentile,90/10,80/20,0.9977973568281938,0.9577167019027484,0.977346278317152,0.9955594713656387,00:00:00,00:00:01.560927
Autoencoder,1,80/20,1.0,0.97815362931642,0.988956180976131,0.9978149779735683,00:00:19.080481,00:00:05.296682
HBOS,3,80/20,0.901137701059239,0.8093727977448908,0.8527937627622053,0.9720528634361233,00:00:00.067212,00:00:02.518695
Percentile,90/10,80/20,0.991833704528582,0.9415081042988019,0.9660159074475777,0.993374449339207,00:00:00,00:00:01.469410
Autoencoder,1,80/20,1.0,0.974277660324172,0.9869712653935391,0.9974273127753304,00:00:19.080481,00:00:05.293742
HBOS,3,80/20,0.9021651964715317,0.7928118393234672,0.8439609902475619,0.9706784140969164,00:00:00.067212,00:00:02.415408
Percentile,90/10,80/20,0.9959138187221397,0.9446793516560958,0.969620253164557,0.994079295154185,00:00:00,00:00:01.532314
Autoencoder,1,80/20,1.0,0.9749823819591261,0.9873327386262266,0.9974977973568282,00:00:19.080481,00:00:05.390093
HBOS,3,80/20,0.8910581803982819,0.8040873854827343,0.8453417299499908,0.9705726872246696,00:00:00.067212,00:00:02.480432
Percentile,90/10,80/20,0.9928918817807707,0.9351656095842142,0.963164579931047,0.9928458149779735,00:00:00,00:00:01.479988
Autoencoder,1,80/20,1.0,0.970754052149401,0.9851600214553906,0.9970748898678414,00:00:19.080481,00:00:05.239363
